path,emotion,text
data/processed/audio/sample_0.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_1.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_2.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_3.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_4.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_5.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_6.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_7.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_8.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_9.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_10.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_11.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_12.wav,happy, Kids are talking by the door.
data/processed/audio/sample_13.wav,happy, Kids are talking by the door.
data/processed/audio/sample_14.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_15.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_16.wav,happy, Kids are talking by the door.
data/processed/audio/sample_17.wav,happy, Kids are talking by the door.
data/processed/audio/sample_18.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_19.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_20.wav,sad, Kids are talking by the door.
data/processed/audio/sample_21.wav,sad, Kids are talking by the door.
data/processed/audio/sample_22.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_23.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_24.wav,sad, Kids are talking by the door.
data/processed/audio/sample_25.wav,sad, Kids are talking by the door.
data/processed/audio/sample_26.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_27.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_28.wav,angry, Kids are talking by the door.
data/processed/audio/sample_29.wav,angry, Kids are talking by the door.
data/processed/audio/sample_30.wav,angry, Dogs are sitting by the door.
data/processed/audio/sample_31.wav,angry, Dogs are sitting by the door.
data/processed/audio/sample_32.wav,angry, Kids are talking by the door!
data/processed/audio/sample_33.wav,angry, Kids are talking by the door.
data/processed/audio/sample_34.wav,angry, Dogs are sitting by the door.
data/processed/audio/sample_35.wav,angry, Dogs are sitting by the door!
data/processed/audio/sample_36.wav,fear, Kids are talking by the door.
data/processed/audio/sample_37.wav,fear, Kids are talking by the door.
data/processed/audio/sample_38.wav,fear, Dogs are sitting by the door.
data/processed/audio/sample_39.wav,fear, Dogs are sitting by the door.
data/processed/audio/sample_40.wav,fear, Kids are talking by the door.
data/processed/audio/sample_41.wav,fear, Kids are talking by the door.
data/processed/audio/sample_42.wav,fear, Dogs are sitting by the door.
data/processed/audio/sample_43.wav,fear, Dogs are sitting by the door.
data/processed/audio/sample_44.wav,disgust, Kids are talking by the door.
data/processed/audio/sample_45.wav,disgust, Kids are talking by the door.
data/processed/audio/sample_46.wav,disgust, Dogs are sitting by the door.
data/processed/audio/sample_47.wav,disgust, Dogs are sitting by the door.
data/processed/audio/sample_48.wav,disgust, Kids are talking by the door!
data/processed/audio/sample_49.wav,disgust, Kids are talking by the door.
data/processed/audio/sample_50.wav,disgust, Oh dogs are sitting by the door.
data/processed/audio/sample_51.wav,disgust, Dogs are sitting by the door.
data/processed/audio/sample_52.wav,surprised, Kids are talking by the door.
data/processed/audio/sample_53.wav,surprised, Kids are talking by the door.
data/processed/audio/sample_54.wav,surprised, Dogs are sitting by the door.
data/processed/audio/sample_55.wav,surprised, Dogs are sitting by the door.
data/processed/audio/sample_56.wav,surprised, Kids are talking by the door.
data/processed/audio/sample_57.wav,surprised, Kids are talking by the door.
data/processed/audio/sample_58.wav,surprised, Dogs are sitting by the door.
data/processed/audio/sample_59.wav,surprised, Dogs are sitting by the door.
data/processed/audio/sample_60.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_61.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_62.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_63.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_64.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_65.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_66.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_67.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_68.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_69.wav,neutral, Kids are talking by the door.
data/processed/audio/sample_70.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_71.wav,neutral, Dogs are sitting by the door.
data/processed/audio/sample_72.wav,happy, Kids are talking by the door.
data/processed/audio/sample_73.wav,happy, Kids are talking by the door.
data/processed/audio/sample_74.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_75.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_76.wav,happy, Kids are talking by the door.
data/processed/audio/sample_77.wav,happy, Kids are talking by the door.
data/processed/audio/sample_78.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_79.wav,happy, Dogs are sitting by the door.
data/processed/audio/sample_80.wav,sad, Kids are talking by the door.
data/processed/audio/sample_81.wav,sad, Kids are talking by the door.
data/processed/audio/sample_82.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_83.wav,sad, Dogs are sitting by the door.
data/processed/audio/sample_84.wav,sad, Kids are talking by the door.
data/processed/audio/sample_85.wav,sad, Kids are talking by the door.
